MovieTitle,ReleaseYear,Duration,Rating,Metascore,Votes,Gross
Pépé le Moko,1937,94.0,7.7,94.0,7988.0,153936.0
Đêm Của Một Ngày Vất Vả,1964,87.0,7.5,94.0,47695.0,13780024.0
Nghệ Sĩ Dương Cầm,2002,150.0,8.5,94.0,899306.0,32572577.0
Nàng Tiên Cá,1989,83.0,7.6,94.0,287984.0,111543479.0
Matewan,1987,135.0,7.9,94.0,8782.0,1680358.0
Hana-bi,1997,103.0,7.7,94.0,32767.0,233986.0
Khách Sạn Đế Vương,2014,99.0,8.1,94.0,875988.0,59100318.0
Dự Án Florida,2017,111.0,7.6,94.0,125903.0,5904366.0
L'année dernière à Marienbad,1961,94.0,7.7,94.0,24557.0,60084.0
Điệp Vụ Boston,2006,151.0,8.5,94.0,1406547.0,132384315.0
Leviafan,2014,140.0,7.6,94.0,56466.0,1092800.0
Omohide poro poro,1991,119.0,7.6,94.0,36557.0,453243.0
Captain Blood,1935,119.0,7.7,94.0,15556.0,2958260.0
'Breaker' Morant,1980,107.0,7.8,94.0,14303.0,7142857.0
Trốn Thoát,2017,104.0,7.8,85.0,682733.0,176040665.0
Saul fia,2015,107.0,7.4,85.0,51342.0,1777043.0
Being There,1979,130.0,7.9,85.0,76952.0,30177511.0
Kẻ Đánh Cắp Giấc Mơ,2010,148.0,8.8,85.0,2516180.0,292576195.0
Touchez pas au grisbi,1954,96.0,7.7,85.0,8456.0,131548.0
Kẻ Săn Hươu,1978,183.0,8.1,85.0,359012.0,48979328.0
Brother's Keeper,1992,104.0,7.5,85.0,4247.0,1305915.0
Bệnh Lạ,2017,120.0,7.5,85.0,142475.0,42873127.0
Gần Như Nổi Tiếng,2000,122.0,7.9,85.0,291008.0,32534850.0
"Xuân, Hạ, Thu, Đông... Rồi Lại Xuân",2003,103.0,8.0,85.0,86288.0,2380788.0
Patton,1970,172.0,7.9,85.0,107187.0,61700000.0
E.T: Sinh vật Ngoài Hành Tinh,1982,115.0,7.9,85.0,433418.0,435110554.0
The Lost Weekend,1945,101.0,7.9,85.0,39734.0,9460000.0
Teen Kanya,1961,173.0,7.9,85.0,1666.0,81200.0
Dom za vesanje,1988,142.0,8.1,85.0,32421.0,280015.0
Phi Vụ Động Trời,2016,108.0,8.0,85.0,538524.0,341268248.0
Ascenseur pour l'échafaud,1958,91.0,7.9,85.0,28288.0,109257.0
The Sting,1973,129.0,8.3,85.0,276927.0,159600000.0
Freaks,1932,64.0,7.8,85.0,50069.0,630020.0
Cô Giáo Elly,2009,119.0,7.9,85.0,56619.0,106662.0
Went the Day Well?,1942,92.0,7.5,85.0,4272.0,24509.0
Le jour se lève,1939,93.0,7.7,85.0,8204.0,34570.0
Brooklyn,2015,117.0,7.5,85.0,149019.0,38322743.0
Amy,2015,128.0,7.8,85.0,54467.0,8413144.0
Kubo và Sứ Mệnh Samurai,2016,101.0,7.7,85.0,137465.0,48023088.0
Relatos salvajes,2014,122.0,8.1,85.0,213581.0,3107072.0
Chuyện Tình Manhattan,1979,96.0,7.8,85.0,145990.0,45700000.0
Sleuth,1972,138.0,8.0,85.0,49813.0,4081254.0
Trouble in Paradise,1932,83.0,7.9,85.0,16017.0,1035500.0
Le quai des brumes,1938,91.0,7.7,85.0,9866.0,26765.0
Ma vie de Courgette,2016,66.0,7.8,85.0,28665.0,292279.0
Dare mo shiranai,2004,141.0,8.0,85.0,30841.0,684118.0
Les yeux sans visage,1960,90.0,7.6,85.0,34700.0,52709.0
Mảnh Đời Của Tristana,1970,99.0,7.4,85.0,12699.0,12686.0
Bàn Chân Trái Của Tôi,1989,103.0,7.8,85.0,78979.0,14743391.0
All the President's Men,1976,138.0,7.9,85.0,124796.0,70600000.0
Que Horas Ela Volta?,2015,112.0,7.7,85.0,16500.0,375723.0
Festen,1998,105.0,8.0,85.0,92858.0,1647780.0
Tìm Tung Tích Mẹ,2010,131.0,8.3,85.0,194600.0,6857096.0
Jungfrukällan,1960,89.0,8.0,85.0,31312.0,1526000.0
Il grande silenzio,1968,105.0,7.7,85.0,17864.0,53074.0
In the Shadow of the Moon,2007,100.0,8.0,85.0,6887.0,1134049.0
Ninotchka,1939,110.0,7.8,85.0,22619.0,1187000.0
Sát Nhân Râu Xanh,1947,124.0,7.8,85.0,18950.0,325000.0
Deep Water,2006,93.0,7.8,85.0,3282.0,270452.0
Người Đẹp Và Quái Vật,1991,84.0,8.0,85.0,476090.0,218967620.0
Chiến Dịch Sinh Tử,2012,120.0,7.7,85.0,635340.0,136025503.0
Hành Trình Django,2012,165.0,8.5,85.0,1670582.0,162805434.0
Capharnaüm,2018,126.0,8.4,85.0,102862.0,1661096.0
El abrazo de la serpiente,2015,125.0,7.8,85.0,24245.0,1329249.0
Đi tìm người đàn ông ngọt ngào,2012,86.0,8.2,85.0,72399.0,3965090.0
Masculin féminin,1966,110.0,7.4,85.0,17131.0,200087.0
Ẩn Thân,2018,109.0,7.1,85.0,64583.0,6046104.0
Tâm trạng khi yêu,2000,98.0,8.1,85.0,164264.0,2734044.0
God's Own Country,2017,104.0,7.6,85.0,34937.0,335609.0
Lối Sống Đồi Trụy,1996,93.0,8.1,83.0,719427.0,16501785.0
Bande à part,1964,95.0,7.6,83.0,26825.0,37651.0
The Odd Couple,1968,105.0,7.6,83.0,37140.0,44527234.0
Tiếng Chuông Lặng Và Cánh Bướm,2007,112.0,8.0,83.0,110076.0,5990075.0
Nghi Phạm Vô Hình,1995,106.0,8.5,83.0,1135243.0,23341568.0
Medena zemja,2019,89.0,8.0,83.0,19181.0,815082.0
