MovieTitle,ReleaseYear,Duration,Genre,Rating,Metascore,Votes,Gross
Campanadas a medianoche,1965,119 min,"Comedy, Drama, History",7.6,84,10021,10021
The Train,1964,133 min,"Action, Thriller, War",7.8,84,18452,18452
Sciuscià,1946,87 min,Drama,8,84,8041,8041
Visages villages,2017,94 min,Documentary,7.8,84,13455,13455
Kakushi-toride no san-akunin,1958,139 min,"Action, Adventure, Drama",8.1,84,41776,41776
Sanjuro,1962,96 min,"Action, Drama, Thriller",8,84,40679,40679
The Other Side of the Mirror: Bob Dylan at the Newport Folk Festival,2007 TV Movie,83 min,"Documentary, Music",8.1,84,439,439
Persona,1966,85 min,"Drama, Thriller",8.1,84,129297,129297
Aparajito,1956,110 min,Drama,8.2,84,15788,15788
Top Hat,1935,101 min,"Comedy, Musical, Romance",7.7,84,20517,20517
The Lady Eve,1941,94 min,"Comedy, Romance",7.7,84,23175,23175
Safety Last!,1923,74 min,"Action, Comedy, Thriller",8.1,84,22587,22587
Dont Look Back,1967,96 min,"Documentary, Music",7.9,84,9932,9932
Nhất Nhất,2000,173 min,"Drama, Romance",8.1,84,27842,27842
Nhà tù Shawshank,1994,142 min,Drama,9.3,84,2852749,2852749
Out of the Past,1947,97 min,"Crime, Drama, Film-Noir",8,84,40490,40490
Tồn Tại Hay Không Tồn Tại,1942,99 min,"Comedy, Romance, War",8.1,84,42181,42181
Tieu Thanh Chi Xuan,1948,98 min,"Drama, Romance",7.3,84,3302,3302
The Right Stuff,1983,193 min,"Adventure, Biography, Drama",7.8,84,64867,64867
Cría cuervos,1976,105 min,Drama,7.9,84,11230,11230
Bài Ca Người Lính,1959,88 min,"Drama, Romance, War",8.2,84,11177,11177
Agantuk,1991,120 min,Drama,8,84,4329,4329
Chuyện Xảy Ra Trong Đêm,1934,105 min,"Comedy, Romance",8.1,84,111020,111020
Anh Chàng Hay Mơ,1985,132 min,"Drama, Sci-Fi, Thriller",7.9,84,209845,209845
The Navigator,1924,59 min,"Action, Comedy, Romance",7.6,84,10925,10925
In a Lonely Place,1950,94 min,"Drama, Film-Noir, Mystery",7.9,84,34709,34709
Max Điên: Con Đường Tử Thần,2015,120 min,"Action, Adventure, Sci-Fi",8.1,84,1071119,1071119
Lật Lại Một Vụ Án,1959,161 min,"Drama, Mystery",8,84,70489,70489
The Shop Around the Corner,1940,99 min,"Comedy, Drama, Romance",8,84,38039,38039
Gấu Paddington 2,2017,103 min,"Adventure, Comedy, Family",7.8,84,92135,92135
An Autumn Afternoon,1962,113 min,Drama,8,84,10416,10416
Withnail & I,1987,107 min,"Comedy, Drama",7.5,84,47348,47348
The Unknown,1927,68 min,"Drama, Horror, Romance",7.7,84,8962,8962
Gọi Em Bằng Tên Anh,2017,132 min,"Drama, Romance",7.8,84,307514,307514
Trưa Hè Nóng Bỏng,1952,85 min,"Drama, Thriller, Western",8,84,109377,109377
Les diaboliques,1955,117 min,"Crime, Drama, Horror",8.1,84,68887,68887
A Night at the Opera,1935,96 min,"Comedy, Music, Musical",7.8,84,34502,34502
Pickpocket,1959,76 min,"Crime, Drama",7.6,84,24951,24951
La jetée,1962,28 min,"Short, Drama, Romance",8.2,84,36682,36682
Berlin Alexanderplatz,1980,931 min,"Crime, Drama",8.4,84,4844,4844
Pyaasa,1957,146 min,"Drama, Musical, Romance",8.3,84,7157,7157
La nuit américaine,1973,116 min,"Comedy, Drama, Romance",8,84,24546,24546
Chú Chuột Đầu Bếp,2007,111 min,"Animation, Adventure, Comedy",8.1,84,809961,809961
Love Me Tonight,1932,104 min,"Comedy, Musical, Romance",7.5,84,4581,4581
Scener ur ett äktenskap,1974,169 min,Drama,8.3,84,8463,8463
Mạng Xã Hội,2010,120 min,"Biography, Drama",7.8,84,750497,750497
Đêm Của Những Thây Ma,1968,96 min,"Horror, Thriller",7.8,84,137830,137830
Our Hospitality,1923,65 min,"Comedy, Romance, Thriller",7.8,84,12359,12359
Red River,1948,133 min,"Drama, Western",7.8,84,33935,33935
Repulsion,1965,105 min,"Drama, Horror, Thriller",7.6,84,56747,56747
Chuyện Công Chúa Kaguya,2013,137 min,"Animation, Drama, Family",8,84,52901,52901
Onna ga kaidan wo agaru toki,1960,111 min,Drama,8.1,84,4760,4760
Chúa Tể Của Những Chiếc Nhẫn: Hai Tòa Tháp,2002,179 min,"Action, Adventure, Drama",8.8,84,1761789,1761789
The God of Day Had Gone Down Upon Him,2000,50 min,N/A,7.7,84,33,33
L'albero degli zoccoli,1978,186 min,"Drama, History",7.8,84,6804,6804
Seven Chances,1925,56 min,"Comedy, Romance",7.8,84,11573,11573
Chiến Tranh Giữa Các Vì Sao Tập 4: Niềm Hi Vọng Mới,1977,121 min,"Action, Adventure, Fantasy",8.6,84,1435409,1435409
Coco: Hội Ngộ Diệu Kỳ,I 2017,105 min,"Animation, Adventure, Drama",8.4,84,577696,577696
Chiến Tranh Giữa Các Vì Sao Tập 5: Đế Chế Phản Công,1980,124 min,"Action, Adventure, Fantasy",8.7,84,1364805,1364805
Salesman,1969,91 min,"Documentary, Drama",7.7,84,5666,5666
Sự Im Lặng Của Bầy Cừu,1991,118 min,"Crime, Drama, Thriller",8.6,84,1528232,1528232
Câu Chuyện Đồ Chơi,1995,81 min,"Animation, Adventure, Comedy",8.3,84,1056730,1056730
Seppuku,1962,133 min,"Action, Drama, Mystery",8.6,84,66724,66724
Cọp Không Biết Sợ,2017,83 min,"Fantasy, Horror, Mystery",6.9,84,8788,8788
Los olvidados,1950,85 min,"Crime, Drama",8.2,84,21813,21813
Babettes gæstebud,1987,103 min,Drama,7.8,84,21696,21696
Nghệ Sĩ,I 2011,100 min,"Comedy, Drama, Romance",7.9,84,247569,247569
The Sweet Hereafter,1997,112 min,Drama,7.5,84,36553,36553
The Killing,1956,84 min,"Crime, Drama, Film-Noir",7.9,84,96362,96362
My Darling Clementine,1946,97 min,"Drama, Romance, Western",7.7,84,25500,25500
Avengers: Hồi Kết,2019,181 min,"Action, Adventure, Drama",8.4,84,1245357,1245357
Hàng Xóm Của Tôi Là Totoro,1988,86 min,"Animation, Comedy, Family",8.1,84,373052,373052
Ba Sắc Màu: Xanh,1993,94 min,"Drama, Music, Mystery",7.9,84,109328,109328
Gold Diggers of 1933,1933,97 min,"Comedy, Drama, Musical",7.7,84,9052,9052
Song of the Sea,2014,93 min,"Animation, Adventure, Drama",8,84,62507,62507
I vitelloni,1953,109 min,"Comedy, Drama",7.8,84,19720,19720
Letter from an Unknown Woman,1948,87 min,"Drama, Romance",7.9,84,13507,13507
Tower,2016,82 min,"Documentary, Animation, Crime",7.9,84,8255,8255
Tên Cậu Là Gì?,2016,106 min,"Animation, Drama, Fantasy",8.4,84,311644,311644
The Story of the Last Chrysanthemums,1939,143 min,"Drama, Romance",7.8,96,4334,4334
Nashville,1975,160 min,"Comedy, Drama, Music",7.6,96,28247,28247
And Life Goes on...,1992,95 min,"Adventure, Drama",7.9,96,7244,7244
Gimme Shelter,1970,91 min,"Documentary, Music, Thriller",7.8,96,12757,12757
Miracolo a Milano,1951,97 min,"Comedy, Drama, Fantasy",7.6,96,8413,8413
Les vacances de Monsieur Hulot,1953,114 min,Comedy,7.3,96,20026,20026
Rạp Xiếc,1928,72 min,"Comedy, Family, Romance",8.1,96,35720,35720
Le charme discret de la bourgeoisie,1972,102 min,Comedy,7.8,96,46176,46176
Gangs of Wasseypur,2012,321 min,"Action, Comedy, Crime",8.2,96,102832,102832
Dục Vọng Mơ Hồ,1977,103 min,"Comedy, Drama, Romance",7.8,96,24456,24456
O Drakos,1956,103 min,"Crime, Drama",7.9,96,2166,2166
Cuộc Chiến Không Trọng Lực,2013,91 min,"Drama, Sci-Fi, Thriller",7.7,96,857187,857187
Before Midnight,2013,109 min,"Drama, Romance",7.9,96,170388,170388
Quái Vật Không Gian,1979,117 min,"Horror, Sci-Fi",8.5,96,938438,938438
Nema-ye Nazdik,1990,98 min,"Biography, Crime, Drama",8.2,96,22511,22511
Bí Mật Los Angeles,1997,138 min,"Crime, Drama, Mystery",8.2,96,611761,611761
Rắc Rối Tuổi Teen,2013,96 min,Drama,7.9,96,91330,91330
Les parapluies de Cherbourg,1964,91 min,"Drama, Musical, Romance",7.8,96,30791,30791
Él,1953,92 min,"Drama, Romance",7.9,96,6508,6508
Ánh Trăng,I 2016,111 min,Drama,7.4,96,328078,328078
Il deserto rosso,1964,117 min,Drama,7.5,96,17341,17341
Emmet Otter's Jug-Band Christmas,1977 TV Movie,48 min,"Comedy, Drama, Family",8.2,96,4742,4742
Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,2003,201 min,"Action, Adventure, Drama",9,96,1954296,1954296
Thiên Đường Thứ 7,1927,110 min,"Drama, Romance",7.6,96,4077,4077
Sans toit ni loi,1985,105 min,Drama,7.7,96,13364,13364
Room,I 2015,118 min,"Drama, Thriller",8.1,96,445714,445714
American Masters,1985– ,208 min,"Documentary, Biography, Music",8.4,96,12067,12067
Simón del desierto,1965,45 min,"Comedy, Drama, Fantasy",7.9,96,10745,10745
Giải Cứu Binh Nhì Ryan,1998,169 min,"Drama, War",8.6,96,1479396,1479396
Aranyer Din Ratri,1970,115 min,Drama,8.1,96,2890,2890
Quái Vật Không Gian 2,1986,137 min,"Action, Adventure, Sci-Fi",8.4,96,755078,755078
